Info	Severity
1967 > 80 [ACK] Seq=322082625 Ack=1130405221 Win=512 Len=54	1
1968 > 80 [ACK] Seq=1096365938 Ack=1291737030 Win=512 Len=54	1
1969 > 80 [ACK] Seq=868472139 Ack=1078735141 Win=512 Len=54	1
1970 > 80 [ACK] Seq=899944013 Ack=189620191 Win=512 Len=54	1
1971 > 80 [ACK] Seq=1242170025 Ack=1470177670 Win=512 Len=54	1
1972 > 80 [ACK] Seq=676016367 Ack=1177301654 Win=512 Len=54	1
1973 > 80 [ACK] Seq=1414315305 Ack=1402618256 Win=512 Len=54	1
1974 > 80 [ACK] Seq=2122461996 Ack=184164048 Win=512 Len=54	1
1975 > 80 [ACK] Seq=1691987023 Ack=1064258976 Win=512 Len=54	1
1976 > 80 [ACK] Seq=433932611 Ack=1986626246 Win=512 Len=54	1
1977 > 80 [ACK] Seq=1566457554 Ack=161225224 Win=512 Len=54	1
1978 > 80 [ACK] Seq=1341510350 Ack=1257591162 Win=512 Len=54	1
1979 > 80 [ACK] Seq=1152113986 Ack=2126063301 Win=512 Len=54	1
1980 > 80 [ACK] Seq=1018236348 Ack=878523667 Win=512 Len=54	1
1981 > 80 [ACK] Seq=1048198082 Ack=2120693692 Win=512 Len=54	1
1982 > 80 [ACK] Seq=1786606553 Ack=649226411 Win=512 Len=54	1
1983 > 80 [ACK] Seq=2041323515 Ack=2063541716 Win=512 Len=54	1
1984 > 80 [ACK] Seq=1273386114 Ack=2038520065 Win=512 Len=54	1
1985 > 80 [ACK] Seq=631117391 Ack=1583023440 Win=512 Len=54	1
1986 > 80 [ACK] Seq=1146446790 Ack=2016956051 Win=512 Len=54	1
1987 > 80 [ACK] Seq=28341918 Ack=1435929957 Win=512 Len=54	1
1988 > 80 [ACK] Seq=40642267 Ack=629956660 Win=512 Len=54	1
1989 > 80 [ACK] Seq=1344679647 Ack=1782070646 Win=512 Len=54	1
1990 > 80 [ACK] Seq=1579968520 Ack=652823346 Win=512 Len=54	1
1991 > 80 [ACK] Seq=2004877584 Ack=1701021428 Win=512 Len=54	1
1992 > 80 [ACK] Seq=1752480671 Ack=1340144333 Win=512 Len=54	1
1993 > 80 [ACK] Seq=529901763 Ack=1233984201 Win=512 Len=54	1
1994 > 80 [ACK] Seq=709941112 Ack=359886667 Win=512 Len=54	1
