Info	Severity
3341 > 80 [SYN] Seq=272472407 Win=512 Len=0	1
3342 > 80 [SYN] Seq=1756453431 Win=512 Len=0	1
3343 > 80 [SYN] Seq=2081980660 Win=512 Len=0	1
3344 > 80 [SYN] Seq=616584040 Win=512 Len=0	1
3345 > 80 [SYN] Seq=631644660 Win=512 Len=0	1
3346 > 80 [SYN] Seq=632990320 Win=512 Len=0	1
3347 > 80 [SYN] Seq=1682019743 Win=512 Len=0	1
3348 > 80 [SYN] Seq=1079222995 Win=512 Len=0	1
3349 > 80 [SYN] Seq=846324202 Win=512 Len=0	1
3350 > 80 [SYN] Seq=569421168 Win=512 Len=0	1
3351 > 80 [SYN] Seq=926046714 Win=512 Len=0	1
3352 > 80 [SYN] Seq=1269459956 Win=512 Len=0	1
3353 > 80 [SYN] Seq=259069752 Win=512 Len=0	1
3354 > 80 [SYN] Seq=815327490 Win=512 Len=0	1
3355 > 80 [SYN] Seq=996000760 Win=512 Len=0	1
3356 > 80 [SYN] Seq=1495704159 Win=512 Len=0	1
3357 > 80 [SYN] Seq=53193489 Win=512 Len=0	1
3358 > 80 [SYN] Seq=1422620270 Win=512 Len=0	1
3359 > 80 [SYN] Seq=283326002 Win=512 Len=0	1
3360 > 80 [SYN] Seq=574798192 Win=512 Len=0	1
3361 > 80 [SYN] Seq=871053141 Win=512 Len=0	1
3362 > 80 [SYN] Seq=43175246 Win=512 Len=0	1
3363 > 80 [SYN] Seq=2064249956 Win=512 Len=0	1
3364 > 80 [SYN] Seq=719115759 Win=512 Len=0	1
3365 > 80 [SYN] Seq=883814135 Win=512 Len=0	1
3366 > 80 [SYN] Seq=62927771 Win=512 Len=0	1
3367 > 80 [SYN] Seq=710574987 Win=512 Len=0	1
3368 > 80 [SYN] Seq=1960456127 Win=512 Len=0	1
3369 > 80 [SYN] Seq=1435599639 Win=512 Len=0	1
3370 > 80 [SYN] Seq=1458287410 Win=512 Len=0	1
3371 > 80 [SYN] Seq=378930517 Win=512 Len=0	1
3372 > 80 [SYN] Seq=617485015 Win=512 Len=0	1
3373 > 80 [SYN] Seq=1782920688 Win=512 Len=0	1
3374 > 80 [SYN] Seq=1662250899 Win=512 Len=0	1
3375 > 80 [SYN] Seq=872059690 Win=512 Len=0	1
3376 > 80 [SYN] Seq=43991721 Win=512 Len=0	1
3377 > 80 [SYN] Seq=1958520959 Win=512 Len=0	1
3378 > 80 [SYN] Seq=1855216204 Win=512 Len=0	1
3379 > 80 [SYN] Seq=813300451 Win=512 Len=0	1
3380 > 80 [SYN] Seq=1826581550 Win=512 Len=0	1
3381 > 80 [SYN] Seq=1169513373 Win=512 Len=0	1
3382 > 80 [SYN] Seq=1915626284 Win=512 Len=0	1
3383 > 80 [SYN] Seq=1039412942 Win=512 Len=0	1
3384 > 80 [SYN] Seq=947426747 Win=512 Len=0	1
3385 > 80 [SYN] Seq=307511543 Win=512 Len=0	1
3386 > 80 [SYN] Seq=115668088 Win=512 Len=0	1
3387 > 80 [SYN] Seq=1867600543 Win=512 Len=0	1
3388 > 80 [SYN] Seq=1321535101 Win=512 Len=0	1
3389 > 80 [SYN] Seq=2047575680 Win=512 Len=0	1
3390 > 80 [SYN] Seq=34080986 Win=512 Len=0	1
3391 > 80 [SYN] Seq=150816508 Win=512 Len=0	1
3392 > 80 [SYN] Seq=1121351738 Win=512 Len=0	1
3393 > 80 [SYN] Seq=841378276 Win=512 Len=0	1
3394 > 80 [SYN] Seq=1375146078 Win=512 Len=0	1
3395 > 80 [SYN] Seq=1294287256 Win=512 Len=0	1
3396 > 80 [SYN] Seq=1482615944 Win=512 Len=0	1
3397 > 80 [SYN] Seq=2003059915 Win=512 Len=0	1
3398 > 80 [SYN] Seq=1418710508 Win=512 Len=0	1
3399 > 80 [SYN] Seq=1690023849 Win=512 Len=0	1
3400 > 80 [SYN] Seq=2105115931 Win=512 Len=0	1
3401 > 80 [SYN] Seq=1974790515 Win=512 Len=0	1
3402 > 80 [SYN] Seq=1677978119 Win=512 Len=0	1
3403 > 80 [SYN] Seq=1832163758 Win=512 Len=0	1
3404 > 80 [SYN] Seq=2072784473 Win=512 Len=0	1
3405 > 80 [SYN] Seq=1914607515 Win=512 Len=0	1
3406 > 80 [SYN] Seq=82208927 Win=512 Len=0	1
3407 > 80 [SYN] Seq=914547725 Win=512 Len=0	1
3408 > 80 [SYN] Seq=2075177572 Win=512 Len=0	1
3409 > 80 [SYN] Seq=1124347377 Win=512 Len=0	1
3410 > 80 [SYN] Seq=1022841239 Win=512 Len=0	1
3411 > 80 [SYN] Seq=1449757059 Win=512 Len=0	1
3412 > 80 [SYN] Seq=1427124563 Win=512 Len=0	1
3413 > 80 [SYN] Seq=723086387 Win=512 Len=0	1
3414 > 80 [SYN] Seq=377055473 Win=512 Len=0	1
3415 > 80 [SYN] Seq=1336458568 Win=512 Len=0	1
