Info	Severity
13179 > 80 [ACK] Seq=932523230 Ack=957599479 Win=512 Len=54	1
53403 > 53 [UDP] Seq=0 Win=0 Len=91	0
53455 > 53 [UDP] Seq=0 Win=0 Len=80	0
62664 > 53 [UDP] Seq=0 Win=0 Len=91	0
56997 > 53 [UDP] Seq=0 Win=0 Len=75	0
61838 > 53 [UDP] Seq=0 Win=0 Len=89	0
44759 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 60880 [UDP] Seq=0 Win=0 Len=103	0
53 > 50039 [UDP] Seq=0 Win=0 Len=124	0
53 > 52652 [UDP] Seq=0 Win=0 Len=91	0
61901 > 53 [UDP] Seq=0 Win=0 Len=93	0
51227 > 53 [UDP] Seq=0 Win=0 Len=84	0
39734 > 53 [UDP] Seq=0 Win=0 Len=79	0
4806 > 80 [ACK] Seq=811087997 Ack=403966600 Win=512 Len=54	1
45566 > 53 [UDP] Seq=0 Win=0 Len=75	0
50587 > 53 [UDP] Seq=0 Win=0 Len=81	0
53 > 64301 [UDP] Seq=0 Win=0 Len=244	0
3527 > 80 [ACK] Seq=695383294 Ack=846774706 Win=512 Len=54	1
53 > 49310 [UDP] Seq=0 Win=0 Len=164	0
7176 > 80 [ACK] Seq=59052791 Ack=602939308 Win=512 Len=54	1
53 > 52476 [UDP] Seq=0 Win=0 Len=226	0
57170 > 53 [UDP] Seq=0 Win=0 Len=84	0
50879 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 50383 [UDP] Seq=0 Win=0 Len=103	0
5250 > 80 [ACK] Seq=213194805 Ack=974521863 Win=512 Len=54	1
57783 > 53 [UDP] Seq=0 Win=0 Len=71	0
52796 > 53 [UDP] Seq=0 Win=0 Len=80	0
49784 > 443 [TCP] Seq=3585950014 Win=0 Len=54	0
53 > 53066 [UDP] Seq=0 Win=0 Len=242	0
64860 > 53 [UDP] Seq=0 Win=0 Len=95	0
50742 > 53 [UDP] Seq=0 Win=0 Len=78	0
10031 > 80 [ACK] Seq=1824663064 Ack=1750220314 Win=512 Len=54	1
53 > 58800 [UDP] Seq=0 Win=0 Len=205	0
53 > 39529 [UDP] Seq=0 Win=0 Len=87	0
5003 > 80 [ACK] Seq=1567573766 Ack=765590582 Win=512 Len=54	1
56330 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 57047 [UDP] Seq=0 Win=0 Len=162	0
53 > 51969 [UDP] Seq=0 Win=0 Len=113	0
58856 > 53 [UDP] Seq=0 Win=0 Len=85	0
53 > 58688 [UDP] Seq=0 Win=0 Len=116	0
3069 > 80 [ACK] Seq=1264177434 Ack=1500661961 Win=512 Len=54	1
62223 > 53 [UDP] Seq=0 Win=0 Len=84	0
53 > 58011 [UDP] Seq=0 Win=0 Len=233	0
57519 > 53 [UDP] Seq=0 Win=0 Len=79	0
11390 > 80 [ACK] Seq=1837670242 Ack=10760365 Win=512 Len=54	1
53 > 65405 [UDP] Seq=0 Win=0 Len=103	0
10524 > 80 [ACK] Seq=875532335 Ack=1551948466 Win=512 Len=54	1
15470 > 80 [ACK] Seq=2026169771 Ack=351613054 Win=512 Len=54	1
56797 > 53 [UDP] Seq=0 Win=0 Len=71	0
4977 > 80 [ACK] Seq=117203119 Ack=741737454 Win=512 Len=54	1
53 > 63577 [UDP] Seq=0 Win=0 Len=136	0
53 > 44543 [UDP] Seq=0 Win=0 Len=199	0
57901 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 50399 [UDP] Seq=0 Win=0 Len=171	0
60721 > 53 [UDP] Seq=0 Win=0 Len=85	0
15165 > 80 [ACK] Seq=450406872 Ack=45195742 Win=512 Len=54	1
55903 > 53 [UDP] Seq=0 Win=0 Len=82	0
5011 > 80 [ACK] Seq=220861064 Ack=1760992485 Win=512 Len=54	1
53 > 63779 [UDP] Seq=0 Win=0 Len=226	0
3594 > 80 [ACK] Seq=2140756379 Ack=612037261 Win=512 Len=54	1
53 > 61354 [UDP] Seq=0 Win=0 Len=187	0
8958 > 80 [ACK] Seq=1357105510 Ack=173649481 Win=512 Len=54	1
49368 > 53 [UDP] Seq=0 Win=0 Len=93	0
53 > 57428 [UDP] Seq=0 Win=0 Len=226	0
9295 > 80 [ACK] Seq=2124751554 Ack=462724258 Win=512 Len=54	1
61611 > 53 [UDP] Seq=0 Win=0 Len=82	0
53 > 58774 [UDP] Seq=0 Win=0 Len=91	0
51257 > 53 [UDP] Seq=0 Win=0 Len=91	0
4741 > 80 [ACK] Seq=1920735424 Ack=2017048333 Win=512 Len=54	1
62937 > 53 [UDP] Seq=0 Win=0 Len=84	0
53 > 51960 [UDP] Seq=0 Win=0 Len=184	0
53 > 53117 [UDP] Seq=0 Win=0 Len=244	0
59915 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 34706 [UDP] Seq=0 Win=0 Len=118	0
53 > 60922 [UDP] Seq=0 Win=0 Len=83	0
61205 > 53 [UDP] Seq=0 Win=0 Len=75	0
62463 > 53 [UDP] Seq=0 Win=0 Len=84	0
37681 > 53 [UDP] Seq=0 Win=0 Len=77	0
53 > 49929 [UDP] Seq=0 Win=0 Len=142	0
50733 > 53 [UDP] Seq=0 Win=0 Len=78	0
53 > 52139 [UDP] Seq=0 Win=0 Len=348	0
52308 > 53 [UDP] Seq=0 Win=0 Len=82	0
53 > 57741 [UDP] Seq=0 Win=0 Len=226	0
55268 > 53 [UDP] Seq=0 Win=0 Len=81	0
53 > 56651 [UDP] Seq=0 Win=0 Len=391	0
16728 > 80 [ACK] Seq=1683132023 Ack=926744565 Win=512 Len=54	1
57783 > 53 [UDP] Seq=0 Win=0 Len=76	0
15993 > 80 [ACK] Seq=317735878 Ack=344247135 Win=512 Len=54	1
53 > 65043 [UDP] Seq=0 Win=0 Len=91	0
53 > 57516 [UDP] Seq=0 Win=0 Len=144	0
62970 > 53 [UDP] Seq=0 Win=0 Len=75	0
51764 > 53 [UDP] Seq=0 Win=0 Len=87	0
65333 > 443 [TCP] Seq=2938555658 Win=0 Len=54	0
60313 > 53 [UDP] Seq=0 Win=0 Len=79	0
53270 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 57086 [UDP] Seq=0 Win=0 Len=244	0
53 > 63570 [UDP] Seq=0 Win=0 Len=247	0
59923 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 55006 [UDP] Seq=0 Win=0 Len=174	0
53 > 62653 [UDP] Seq=0 Win=0 Len=172	0
53 > 38550 [UDP] Seq=0 Win=0 Len=131	0
53 > 58447 [UDP] Seq=0 Win=0 Len=102	0
5137 > 80 [ACK] Seq=444488067 Ack=1805483667 Win=512 Len=54	1
62994 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 58171 [UDP] Seq=0 Win=0 Len=188	0
54334 > 53 [UDP] Seq=0 Win=0 Len=76	0
53378 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 64346 [UDP] Seq=0 Win=0 Len=232	0
53 > 51117 [UDP] Seq=0 Win=0 Len=238	0
61001 > 53 [UDP] Seq=0 Win=0 Len=81	0
62666 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 52753 [UDP] Seq=0 Win=0 Len=226	0
53 > 59603 [UDP] Seq=0 Win=0 Len=268	0
61560 > 53 [UDP] Seq=0 Win=0 Len=72	0
53 > 59051 [UDP] Seq=0 Win=0 Len=102	0
53 > 50556 [UDP] Seq=0 Win=0 Len=315	0
53 > 51758 [UDP] Seq=0 Win=0 Len=315	0
53 > 53537 [UDP] Seq=0 Win=0 Len=225	0
53 > 60870 [UDP] Seq=0 Win=0 Len=100	0
9605 > 80 [ACK] Seq=1776445129 Ack=1532077433 Win=512 Len=54	1
53 > 55194 [UDP] Seq=0 Win=0 Len=145	0
53 > 61026 [UDP] Seq=0 Win=0 Len=238	0
53 > 53265 [UDP] Seq=0 Win=0 Len=247	0
50162 > 53 [UDP] Seq=0 Win=0 Len=76	0
52818 > 53 [UDP] Seq=0 Win=0 Len=76	0
64937 > 53 [UDP] Seq=0 Win=0 Len=81	0
63364 > 53 [UDP] Seq=0 Win=0 Len=87	0
54560 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 50703 [UDP] Seq=0 Win=0 Len=389	0
53 > 51450 [UDP] Seq=0 Win=0 Len=172	0
57619 > 53 [UDP] Seq=0 Win=0 Len=84	0
9968 > 80 [ACK] Seq=1468004947 Ack=104060837 Win=512 Len=54	1
53 > 38106 [UDP] Seq=0 Win=0 Len=131	0
3304 > 80 [ACK] Seq=286072800 Ack=187251688 Win=512 Len=54	1
39710 > 53 [UDP] Seq=0 Win=0 Len=81	0
58259 > 53 [UDP] Seq=0 Win=0 Len=86	0
58351 > 53 [UDP] Seq=0 Win=0 Len=76	0
62250 > 53 [UDP] Seq=0 Win=0 Len=91	0
50129 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 61409 [UDP] Seq=0 Win=0 Len=91	0
53 > 63049 [UDP] Seq=0 Win=0 Len=133	0
53 > 62134 [UDP] Seq=0 Win=0 Len=89	0
53 > 50054 [UDP] Seq=0 Win=0 Len=238	0
53 > 62449 [UDP] Seq=0 Win=0 Len=91	0
53 > 62827 [UDP] Seq=0 Win=0 Len=111	0
5982 > 80 [ACK] Seq=1678728380 Ack=921801491 Win=512 Len=54	1
53 > 55187 [UDP] Seq=0 Win=0 Len=91	0
62691 > 53 [UDP] Seq=0 Win=0 Len=78	0
53 > 56478 [UDP] Seq=0 Win=0 Len=98	0
53 > 52338 [UDP] Seq=0 Win=0 Len=146	0
53 > 60290 [UDP] Seq=0 Win=0 Len=91	0
9517 > 80 [ACK] Seq=949419276 Ack=289287084 Win=512 Len=54	1
51463 > 53 [UDP] Seq=0 Win=0 Len=77	0
60340 > 53 [UDP] Seq=0 Win=0 Len=73	0
53 > 57532 [UDP] Seq=0 Win=0 Len=220	0
49660 > 53 [UDP] Seq=0 Win=0 Len=72	0
50537 > 53 [UDP] Seq=0 Win=0 Len=88	0
53 > 41584 [UDP] Seq=0 Win=0 Len=240	0
53 > 59143 [UDP] Seq=0 Win=0 Len=233	0
11715 > 80 [ACK] Seq=1951866139 Ack=1122180516 Win=512 Len=54	1
53 > 53787 [UDP] Seq=0 Win=0 Len=238	0
53 > 62158 [UDP] Seq=0 Win=0 Len=210	0
7421 > 80 [ACK] Seq=1341021335 Ack=716945988 Win=512 Len=54	1
9358 > 80 [ACK] Seq=1640913384 Ack=776956730 Win=512 Len=54	1
56799 > 53 [UDP] Seq=0 Win=0 Len=79	0
4695 > 80 [ACK] Seq=1086033643 Ack=444990879 Win=512 Len=54	1
53 > 51087 [UDP] Seq=0 Win=0 Len=143	0
2345 > 80 [ACK] Seq=822213200 Ack=979489106 Win=512 Len=54	1
58991 > 53 [UDP] Seq=0 Win=0 Len=85	0
10053 > 80 [ACK] Seq=179890556 Ack=238281346 Win=512 Len=54	1
53 > 44616 [UDP] Seq=0 Win=0 Len=199	0
60243 > 53 [UDP] Seq=0 Win=0 Len=73	0
60098 > 53 [UDP] Seq=0 Win=0 Len=91	0
11965 > 80 [ACK] Seq=6172258 Ack=1372106596 Win=512 Len=54	1
7709 > 80 [ACK] Seq=1296560439 Ack=429464140 Win=512 Len=54	1
53 > 47694 [UDP] Seq=0 Win=0 Len=194	0
53 > 62608 [UDP] Seq=0 Win=0 Len=169	0
53606 > 53 [UDP] Seq=0 Win=0 Len=86	0
53 > 57488 [UDP] Seq=0 Win=0 Len=244	0
53 > 50933 [UDP] Seq=0 Win=0 Len=221	0
53 > 53851 [UDP] Seq=0 Win=0 Len=124	0
53 > 56685 [UDP] Seq=0 Win=0 Len=91	0
57271 > 53 [UDP] Seq=0 Win=0 Len=88	0
50175 > 53 [UDP] Seq=0 Win=0 Len=76	0
60823 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 61566 [UDP] Seq=0 Win=0 Len=331	0
50789 > 53 [UDP] Seq=0 Win=0 Len=84	0
53 > 52925 [UDP] Seq=0 Win=0 Len=160	0
53 > 64707 [UDP] Seq=0 Win=0 Len=96	0
54580 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 58760 [UDP] Seq=0 Win=0 Len=238	0
53389 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 60541 [UDP] Seq=0 Win=0 Len=227	0
53 > 50746 [UDP] Seq=0 Win=0 Len=238	0
50930 > 53 [UDP] Seq=0 Win=0 Len=82	0
53 > 56222 [UDP] Seq=0 Win=0 Len=98	0
53 > 55937 [UDP] Seq=0 Win=0 Len=247	0
54901 > 53 [UDP] Seq=0 Win=0 Len=80	0
13866 > 80 [ACK] Seq=945305210 Ack=1647883943 Win=512 Len=54	1
53 > 35027 [UDP] Seq=0 Win=0 Len=139	0
58870 > 53 [UDP] Seq=0 Win=0 Len=85	0
61788 > 53 [UDP] Seq=0 Win=0 Len=76	0
9168 > 80 [ACK] Seq=376916125 Ack=2107257413 Win=512 Len=54	1
53 > 48707 [UDP] Seq=0 Win=0 Len=166	0
58747 > 53 [UDP] Seq=0 Win=0 Len=82	0
60480 > 53 [UDP] Seq=0 Win=0 Len=86	0
12323 > 80 [ACK] Seq=780941844 Ack=1957766275 Win=512 Len=54	1
52892 > 53 [UDP] Seq=0 Win=0 Len=89	0
59772 > 53 [UDP] Seq=0 Win=0 Len=91	0
63909 > 53 [UDP] Seq=0 Win=0 Len=91	0
52476 > 53 [UDP] Seq=0 Win=0 Len=87	0
55564 > 53 [UDP] Seq=0 Win=0 Len=75	0
14621 > 80 [ACK] Seq=1034999741 Ack=860971769 Win=512 Len=54	1
49204 > 53 [UDP] Seq=0 Win=0 Len=87	0
50456 > 53 [UDP] Seq=0 Win=0 Len=78	0
53 > 53688 [UDP] Seq=0 Win=0 Len=146	0
61620 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 58394 [UDP] Seq=0 Win=0 Len=144	0
15681 > 80 [ACK] Seq=1739263250 Ack=2146883940 Win=512 Len=54	1
53 > 59994 [UDP] Seq=0 Win=0 Len=238	0
62919 > 53 [UDP] Seq=0 Win=0 Len=77	0
62925 > 53 [UDP] Seq=0 Win=0 Len=75	0
64048 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 56562 [UDP] Seq=0 Win=0 Len=220	0
54216 > 53 [UDP] Seq=0 Win=0 Len=75	0
65395 > 53 [UDP] Seq=0 Win=0 Len=84	0
60944 > 53 [UDP] Seq=0 Win=0 Len=71	0
53 > 61128 [UDP] Seq=0 Win=0 Len=389	0
11527 > 80 [ACK] Seq=225992859 Ack=1099324604 Win=512 Len=54	1
62297 > 53 [UDP] Seq=0 Win=0 Len=84	0
53 > 54389 [UDP] Seq=0 Win=0 Len=98	0
53 > 52252 [UDP] Seq=0 Win=0 Len=174	0
53 > 52235 [UDP] Seq=0 Win=0 Len=144	0
12496 > 80 [ACK] Seq=459183120 Ack=171333925 Win=512 Len=54	1
15627 > 80 [ACK] Seq=2018423328 Ack=1270698501 Win=512 Len=54	1
63517 > 53 [UDP] Seq=0 Win=0 Len=88	0
53 > 58230 [UDP] Seq=0 Win=0 Len=184	0
53 > 60062 [UDP] Seq=0 Win=0 Len=176	0
63857 > 53 [UDP] Seq=0 Win=0 Len=94	0
60422 > 53 [UDP] Seq=0 Win=0 Len=130	0
53 > 55333 [UDP] Seq=0 Win=0 Len=144	0
53 > 58152 [UDP] Seq=0 Win=0 Len=174	0
15561 > 80 [ACK] Seq=884876326 Ack=1073657576 Win=512 Len=54	1
