Info	Severity
5759 > 25565 [SYN] Seq=1348861952 Win=0 Len=0	1
14439 > 80 [ACK] Seq=458044343 Win=512 Len=0	1
53 > 57488 [UDP] Seq=0 Win=0 Len=0	0
3676 > 80 [ACK] Seq=83703914 Win=512 Len=0	1
7086 > 80 [ACK] Seq=1880955973 Win=512 Len=0	1
29733 > 25565 [SYN] Seq=1885798400 Win=0 Len=0	1
10191 > 80 [ACK] Seq=337917548 Win=512 Len=0	1
4323 > 80 [SYN] Seq=239050334 Win=512 Len=0	1
14705 > 25565 [SYN] Seq=2609971200 Win=0 Len=0	1
4459 > 80 [ACK] Seq=1548014867 Win=512 Len=0	1
80 > 4954 [SYN] Seq=51737306 Win=29200 Len=0	1
10.0.0.2 > 10.128.0.2 [ICMP] Seq=49038 Win=0 Len=0	1
1542 > 25565 [SYN] Seq=2287534080 Win=0 Len=0	1
53 > 64579 [UDP] Seq=0 Win=0 Len=0	0
49882 > 25565 [SYN] Seq=50200576 Win=0 Len=0	1
80 > 4156 [SYN] Seq=2946942629 Win=29200 Len=0	1
12586 > 80 [ACK] Seq=1050865703 Win=512 Len=0	1
13365 > 80 [ACK] Seq=1774106221 Win=512 Len=0	1
55859 > 25565 [SYN] Seq=3417374720 Win=0 Len=0	1
53 > 49782 [UDP] Seq=0 Win=0 Len=0	0
10.0.0.2 > 10.128.0.2 [ICMP] Seq=62858 Win=0 Len=0	1
57681 > 25565 [SYN] Seq=2550136832 Win=0 Len=0	1
10.0.0.2 > 10.128.0.2 [ICMP] Seq=55438 Win=0 Len=0	1
53 > 63560 [UDP] Seq=0 Win=0 Len=0	0
61415 > 25565 [SYN] Seq=1144455168 Win=0 Len=0	1
52304 > 53 [UDP] Seq=0 Win=0 Len=0	0
60697 > 25565 [SYN] Seq=3732996096 Win=0 Len=0	1
7492 > 80 [ACK] Seq=1052478556 Win=512 Len=0	1
6235 > 25565 [SYN] Seq=2332295168 Win=0 Len=0	1
10.0.0.2 > 10.128.0.2 [ICMP] Seq=14997 Win=0 Len=0	1
10256 > 25565 [SYN] Seq=4108058624 Win=0 Len=0	1
9486 > 80 [ACK] Seq=1889535690 Win=512 Len=0	1
38461 > 25565 [SYN] Seq=3121086464 Win=0 Len=0	1
36740 > 25565 [SYN] Seq=1398013952 Win=0 Len=0	1
53 > 50860 [UDP] Seq=0 Win=0 Len=0	0
54062 > 53 [UDP] Seq=0 Win=0 Len=0	0
39307 > 25565 [SYN] Seq=1523908608 Win=0 Len=0	1
15958 > 25565 [SYN] Seq=2189885440 Win=0 Len=0	1
23945 > 25565 [SYN] Seq=889323520 Win=0 Len=0	1
10.0.0.2 > 10.128.0.2 [ICMP] Seq=53872 Win=0 Len=0	1
80 > 3927 [SYN] Seq=1713639377 Win=29200 Len=0	1
54139 > 53 [UDP] Seq=0 Win=0 Len=0	0
10.0.0.2 > 10.128.0.2 [ICMP] Seq=10874 Win=0 Len=0	1
53 > 62684 [UDP] Seq=0 Win=0 Len=0	0
80 > 3550 [SYN] Seq=1458117736 Win=29200 Len=0	1
53591 > 53 [UDP] Seq=0 Win=0 Len=0	0
54303 > 25565 [SYN] Seq=21495808 Win=0 Len=0	1
80 > 4228 [SYN] Seq=1613677370 Win=29200 Len=0	1
42677 > 25565 [SYN] Seq=4182114304 Win=0 Len=0	1
38854 > 25565 [SYN] Seq=2009530368 Win=0 Len=0	1
