Info	Severity
68 > 67 [UDP] Seq=0 Win=0 Len=342	0
67 > 68 [UDP] Seq=0 Win=0 Len=590	0
68 > 67 [UDP] Seq=0 Win=0 Len=342	0
67 > 68 [UDP] Seq=0 Win=0 Len=590	0
68 > 67 [UDP] Seq=0 Win=0 Len=350	0
67 > 68 [UDP] Seq=0 Win=0 Len=590	0
68 > 67 [UDP] Seq=0 Win=0 Len=342	0
67 > 68 [UDP] Seq=0 Win=0 Len=590	0
61119 > 5355 [UDP] Seq=0 Win=0 Len=64	0
61119 > 5355 [UDP] Seq=0 Win=0 Len=64	0
137 > 137 [UDP] Seq=0 Win=0 Len=92	0
137 > 137 [UDP] Seq=0 Win=0 Len=92	0
137 > 137 [UDP] Seq=0 Win=0 Len=92	0
55630 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 55630 [UDP] Seq=0 Win=0 Len=182	0
63768 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 63768 [UDP] Seq=0 Win=0 Len=182	0
57590 > 53 [UDP] Seq=0 Win=0 Len=84	0
53 > 57590 [UDP] Seq=0 Win=0 Len=389	0
51764 > 53 [UDP] Seq=0 Win=0 Len=84	0
53 > 51764 [UDP] Seq=0 Win=0 Len=389	0
58848 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 58848 [UDP] Seq=0 Win=0 Len=354	0
54987 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 54987 [UDP] Seq=0 Win=0 Len=170	0
65092 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 65092 [UDP] Seq=0 Win=0 Len=299	0
51750 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 51750 [UDP] Seq=0 Win=0 Len=299	0
55481 > 53 [UDP] Seq=0 Win=0 Len=93	0
61904 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 55481 [UDP] Seq=0 Win=0 Len=278	0
59524 > 53 [UDP] Seq=0 Win=0 Len=93	0
53 > 61904 [UDP] Seq=0 Win=0 Len=171	0
60894 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 60894 [UDP] Seq=0 Win=0 Len=171	0
58107 > 53 [UDP] Seq=0 Win=0 Len=86	0
53 > 58107 [UDP] Seq=0 Win=0 Len=102	0
55406 > 53 [UDP] Seq=0 Win=0 Len=86	0
53 > 55406 [UDP] Seq=0 Win=0 Len=142	0
51092 > 53 [UDP] Seq=0 Win=0 Len=77	0
53 > 51092 [UDP] Seq=0 Win=0 Len=184	0
51960 > 53 [UDP] Seq=0 Win=0 Len=77	0
53 > 51960 [UDP] Seq=0 Win=0 Len=184	0
55590 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 55590 [UDP] Seq=0 Win=0 Len=111	0
59790 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 59790 [UDP] Seq=0 Win=0 Len=141	0
59524 > 53 [UDP] Seq=0 Win=0 Len=93	0
60811 > 53 [UDP] Seq=0 Win=0 Len=92	0
53 > 60811 [UDP] Seq=0 Win=0 Len=396	0
60447 > 53 [UDP] Seq=0 Win=0 Len=77	0
54255 > 53 [UDP] Seq=0 Win=0 Len=92	0
53 > 59524 [UDP] Seq=0 Win=0 Len=175	0
53 > 60447 [UDP] Seq=0 Win=0 Len=125	0
53 > 54255 [UDP] Seq=0 Win=0 Len=396	0
57792 > 53 [UDP] Seq=0 Win=0 Len=88	0
53 > 57792 [UDP] Seq=0 Win=0 Len=353	0
49437 > 53 [UDP] Seq=0 Win=0 Len=86	0
61160 > 53 [UDP] Seq=0 Win=0 Len=77	0
63517 > 53 [UDP] Seq=0 Win=0 Len=88	0
53 > 61160 [UDP] Seq=0 Win=0 Len=125	0
53 > 49437 [UDP] Seq=0 Win=0 Len=345	0
52134 > 53 [UDP] Seq=0 Win=0 Len=78	0
50879 > 53 [UDP] Seq=0 Win=0 Len=86	0
53 > 52134 [UDP] Seq=0 Win=0 Len=94	0
53 > 50879 [UDP] Seq=0 Win=0 Len=345	0
51283 > 53 [UDP] Seq=0 Win=0 Len=78	0
53946 > 53 [UDP] Seq=0 Win=0 Len=92	0
53 > 53946 [UDP] Seq=0 Win=0 Len=325	0
51986 > 53 [UDP] Seq=0 Win=0 Len=92	0
53 > 51283 [UDP] Seq=0 Win=0 Len=146	0
53 > 51986 [UDP] Seq=0 Win=0 Len=174	0
59659 > 53 [UDP] Seq=0 Win=0 Len=83	0
62090 > 53 [UDP] Seq=0 Win=0 Len=72	0
53 > 59659 [UDP] Seq=0 Win=0 Len=134	0
53 > 62090 [UDP] Seq=0 Win=0 Len=164	0
58976 > 53 [UDP] Seq=0 Win=0 Len=72	0
50050 > 53 [UDP] Seq=0 Win=0 Len=83	0
53 > 58976 [UDP] Seq=0 Win=0 Len=164	0
53 > 50050 [UDP] Seq=0 Win=0 Len=134	0
50465 > 53 [UDP] Seq=0 Win=0 Len=79	0
56436 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 50465 [UDP] Seq=0 Win=0 Len=111	0
50722 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 56436 [UDP] Seq=0 Win=0 Len=107	0
62792 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 62792 [UDP] Seq=0 Win=0 Len=103	0
50200 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 50200 [UDP] Seq=0 Win=0 Len=151	0
60115 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 60115 [UDP] Seq=0 Win=0 Len=151	0
62386 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 62386 [UDP] Seq=0 Win=0 Len=128	0
58805 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 58805 [UDP] Seq=0 Win=0 Len=108	0
49177 > 443 [TCP] Seq=4270285690 Win=0 Len=54	0
63517 > 53 [UDP] Seq=0 Win=0 Len=88	0
53 > 63517 [UDP] Seq=0 Win=0 Len=173	0
49673 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 49673 [UDP] Seq=0 Win=0 Len=172	0
53573 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 53573 [UDP] Seq=0 Win=0 Len=172	0
65487 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 65487 [UDP] Seq=0 Win=0 Len=139	0
63926 > 53 [UDP] Seq=0 Win=0 Len=91	0
50722 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 63926 [UDP] Seq=0 Win=0 Len=119	0
53473 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 50722 [UDP] Seq=0 Win=0 Len=139	0
53 > 53473 [UDP] Seq=0 Win=0 Len=172	0
49426 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 49426 [UDP] Seq=0 Win=0 Len=172	0
60777 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 60777 [UDP] Seq=0 Win=0 Len=139	0
56471 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 56471 [UDP] Seq=0 Win=0 Len=119	0
58396 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 58396 [UDP] Seq=0 Win=0 Len=172	0
62464 > 53 [UDP] Seq=0 Win=0 Len=89	0
